fardanews_104355	fardanews_104298	0
fardanews_104355	tabnak_87430	0
fardanews_104355	tabnak_87427	0
fardanews_104355	fardanews_104310	0
fardanews_104355	fardanews_104312	0
fardanews_104355	fardanews_104327	0
fardanews_104355	tabnak_87481	0
fardanews_104355	fardanews_104350	0
fardanews_104359	tabnak_87270	0
fardanews_104359	fardanews_104223	0
fardanews_104359	tabnak_87281	0
fardanews_104359	tabnak_87332	0
fardanews_104359	fardanews_104271	0
fardanews_104359	tabnak_87369	0
fardanews_104359	tabnak_87379	0
fardanews_104359	tabnak_87398	0
fardanews_104359	tabnak_87405	0
fardanews_104359	fardanews_104296	0
fardanews_104359	fardanews_104298	0
fardanews_104359	tabnak_87430	0
fardanews_104359	tabnak_87427	0
fardanews_104359	fardanews_104310	0
fardanews_104359	fardanews_104312	0
fardanews_104359	fardanews_104327	0
fardanews_104359	tabnak_87481	0
fardanews_104359	fardanews_104350	0
fardanews_104359	fardanews_104355	0
fardanews_104364	tabnak_87270	0
fardanews_104364	fardanews_104223	0
fardanews_104364	tabnak_87281	0
fardanews_104364	tabnak_87332	0
fardanews_104364	fardanews_104271	0
fardanews_104364	tabnak_87369	0
fardanews_104364	tabnak_87379	0
fardanews_104364	tabnak_87398	0
fardanews_104364	tabnak_87405	0
fardanews_104364	fardanews_104296	0
fardanews_104364	fardanews_104298	0
fardanews_104364	tabnak_87430	0
fardanews_104364	tabnak_87427	0
fardanews_104364	fardanews_104310	0
fardanews_104364	fardanews_104312	0
fardanews_104364	fardanews_104327	0
fardanews_104364	tabnak_87481	0
fardanews_104364	fardanews_104350	0
fardanews_104364	fardanews_104355	0
fardanews_104364	fardanews_104359	0
fardanews_104374	tabnak_87270	0
fardanews_104374	fardanews_104223	0
fardanews_104374	tabnak_87281	0
fardanews_104374	tabnak_87332	0
fardanews_104374	fardanews_104271	0
fardanews_104374	tabnak_87369	0
fardanews_104374	tabnak_87379	0
fardanews_104374	tabnak_87398	0
fardanews_104374	tabnak_87405	0
fardanews_104374	fardanews_104296	0
