agency,id,tag,TF.IDF,most_similar_id,most_similar_agency,KL,SCS,WMD,time_diff,KhabarGozaryMatch,NE,KeyWordOverLap(0-25),,c-comment
Fardanews,156441,new,0.073304953,164533,Khabaronline,43.9675,0.452725901,4.123080103,323220,0,1,0,,23
Tabnak,180242,old,1,156441,Fardanews,0,0.985801955,0,3420,0,1,25,,0
Tabnak,181757,new,0.641422224,164019,Khabaronline,0,0.772832442,2.052558472,1126140,0,0.681098208,11,,0
Fardanews,157294,old,0.969526094,181757,Tabnak, _nan,0.968443571,0.315200267,1500,0,0.82498187,24,,1
Tabnak,181772,old,0.98559816,181757,Tabnak,0,0.978409747,0.351699938,1620,1,0.917875515,23,,0
Khabaronline,166277,old,0.982147299,181772,Tabnak,0,0.955484306,0.369606665,780,0,1,22,,0
Tabnak,181845,old,0.194860823,181757,Tabnak,0,0.563855149,3.638714867,13380,1,0.295026132,3,,0
Fardanews,157317,old,0.990970171,181845,Tabnak, _nan,0.983082342,0.401397297,120,0,0.948836322,22,,4
Tabnak,181884,old,0.998944253,181845,Tabnak,0,0.991633711,0.080795999,4020,0,1,25,,0
Khabaronline,166355,old,0.996715081,157317,Fardanews,52.9283,0.973287571,0.142733174,5040,0,0.919071755,25,,6
Khabaronline,166447,new,0.340807593,163803,Khabaronline,40.7942,0.63071092,2.936986366,1285020,0,0.534654339,3,,57
Tabnak,181979,old,0.925253201,166447,Khabaronline,0,0.831616584,0.827314058,13980,0,0.987484174,24,,0
Khabaronline,167556,new,0.260639182,164752,Khabaronline,51.846,0.604824755,3.283153286,1447980,1,0.157322356,3,,2
Khabaronline,167838,old,0.917141473,167556,Khabaronline,55.2743,0.920469454,0.56280095,100500,1,1,22,,6
Fardanews,158302,old,0.951015493,167838,Khabaronline,0,0.93771034,0.513115209,18300,0,0.660302286,21,,0
Khabaronline,168049,new,0.200790607,163492,Khabaronline,58.6154,0.509754351,3.54513907,2206260,1,0.352437281,3,,1
Khabaronline,168050,old,0.995081601,168049,Khabaronline,55.8587,0.9735419,0.075324973,300,1,1,25,,10
Khabaronline,168101,new,0.335278294,167556,Khabaronline,0,0.642054016,3.091750431,240900,1,0.451173926,6,,0
Khabaronline,168805,new,0.256187097,166277,Khabaronline, _nan,0.55694067,3.449327587,1216260,0,0.462750773,4,,24
Tabnak,184908,old,0.940599693,168805,Khabaronline,0,0.91708659,1.022712011,1260,0,0.977908615,19,,0
Fardanews,160655,new,0.276557259,166447,Khabaronline,0,0.674269568,3.225950937,2476140,0,0.426526097,3,,0
Tabnak,188456,old,1,160655,Fardanews,0,0.998901256,0,6420,0,1,25,,0
Khabaronline,171570,old,0.604888645,188456,Tabnak, _nan,0.78893848,1.967126354,11400,0,0.520399198,12,,13
Tabnak,188521,old,0.90135671,171570,Khabaronline,0,0.880910817,0.716169741,660,0,1,22,,0
Tabnak,188575,old,0.963737646,188456,Tabnak, _nan,0.978235691,0.229224063,17880,0,1,23,,2
Tabnak,188618,old,0.716985818,188456,Tabnak,0,0.714505705,2.139645928,73920,1,0.824701961,16,,0
Tabnak,191437,new,0.453413967,188456,Tabnak,0,0.656604395,3.152644933,1197900,0,0.31813621,4,,0
Tabnak,191592,new,0.197358144,164094,Khabaronline,0,0.519631417,3.399701808,4886880,0,0.487187658,2,,0
Fardanews,162314,old,0.835536575,191592,Tabnak, _nan,0.959417104,0.46621278,1080,0,0.966978394,20,,2
Khabaronline,174206,old,0.522462928,177436,Tabnak, _nan,0.643304803,2.760924269,5446560,0,0.536558214,5,,46
Fardanews,162342,old,0.339555115,162314,Fardanews,50.641,0.591094694,3.19417089,14280,0,0.575408316,6,,51
Tabnak,191638,old,1,162314,Fardanews,0,0.96059173,0,15840,0,1,25,,0
