agnecy,id,tag,tf_idf,most_similar_id,most_similar_agency,KLComment,SCS,WMD,time_diff,agency_match
tabnak,93354,New,0.025406519,87931,tabnak,56.8642,0.517805644,3.491454019,3926380,1
tabnak,93362,Old,1,93354,tabnak,0,1,0,2760,1
tabnak,94215,Old,0.349588671,105674,fardaNews,0,0.494815157,3.875918073,3598360,0
fardaNews,108413,Old,0.432240675,94215,tabnak,0,0.910645371,0.371959839,1680,0
fardaNews,108722,New,0,87270,tabnak,0,0.533004227,3.665951151,5262940,0
tabnak,94921,New,0,87270,tabnak,14.2728,0.413004358,3.807711488,5278840,1
tabnak,96175,New,0.194067728,88889,tabnak,0,0.514341765,3.780808094,4923460,1
tabnak,99426,New,0.2348459,87683,tabnak,50.3098,0.668970498,3.334372852,7073320,1
tabnak,100271,New,0.180051808,104327,fardaNews,0,0.607555156,3.888924625,7712080,0
fardaNews,111210,New,0.236446403,104350,fardaNews,0,0.490814038,3.807266403,7730200,1
tabnak,100369,Old,0.502375367,111210,fardaNews,0,0.996784503,0.054427557,2040,0
fardaNews,111477,New,0.093670559,104970,fardaNews,0,0.373864671,3.952139021,7455940,1
tabnak,101020,Old,0.270986174,111477,fardaNews,0,0.886541462,1.112191494,12000,0
tabnak,101865,New,0.509276536,94215,tabnak,0,0.377285255,4.303031001,3589380,1
tabnak,101947,Old,0.276757756,104350,fardaNews,0,0.492495713,3.563765269,8425660,0
fardaNews,111958,Old,1,101947,tabnak,0,0.976086276,0.103449758,3600,0
tabnak,104800,Old,0.400289813,100271,tabnak,50.2451,0.570332239,3.576964961,2072460,1
tabnak,105133,New,0.215143568,87782,tabnak,53.8369,0.680547611,3.61660237,9687040,1
fardaNews,113538,New,0.245615393,87398,tabnak,44.9341,0.856028315,1.86904721,10082740,0
tabnak,105254,New,0.245117212,100271,tabnak,46.2564,0.669639889,2.986188624,2329020,1
fardaNews,113540,Old,0.121383629,87712,tabnak,41.8317,0.775949525,2.861958004,9781060,0
fardaNews,113547,New,0.311139807,104378,fardaNews,0,0.925685232,1.041600338,10034200,1
fardaNews,113553,Old,0.600858516,104327,fardaNews,0,0.893126241,0.83969185,10048300,1
tabnak,105329,Old,0.697817284,113547,fardaNews,0,0.361068044,3.778268441,8460,0
tabnak,105360,Old,0.303461419,105329,tabnak,52.8449,0.934697749,0.758080736,7200,1
