agency,id,tag,tf_idf,most_similar_id,most_similar_agency,KL,SCS,WMD,time_diff,agency_match
tabnak,171150,New,0.345135169,132885,fardaNews,0,0.573257262,2.844237062,13580320,0
tabnak,174746,New,0.233209576,138489,fardaNews,0,0.702751839,2.692887551,11295340,0
tabnak,175772,New,0.191459197,132986,fardaNews,0,0.532845801,3.651807949,15400300,0
fardaNews,156866,New,0,132453,fardaNews,47.5309,0.708225399,2.992518268,17668480,1
khabaronline,165990,New,0.122885108,122137,khabaronline,55.2668,0.75040132,1.970469178,17795440,1
tabnak,193795,New,0.159573551,133238,fardaNews,0,0.623812074,3.205120225,22173340,0
fardaNews,163576,Old,0.917200303,193795,tabnak,0,0.971783325,0.60075181,900,0
tabnak,212871,New,0.305183475,143027,tabnak,0,0.590782597,2.715460288,29339560,1
fardaNews,181798,New,0.337309532,151663,tabnak,0,0.679487643,2.97969288,26805760,0
tabnak,218232,Old,0.232583491,132789,fardaNews,0,0.803538698,2.563446135,31348060,0
