tabnak-177685	khabaronline-162916	31.7338
tabnak-177685	khabaronline-162929	26.9081
tabnak-177685	tabnak-177436	-nan
tabnak-177685	khabaronline-162959	32.9637
tabnak-177685	tabnak-177460	-nan
tabnak-177685	fardanews-155142	38.9777
tabnak-177685	tabnak-177524	37.262
tabnak-177685	khabaronline-163052	38.8879
tabnak-177685	khabaronline-163060	31.7294
tabnak-177685	fardanews-155177	33.8801
tabnak-177685	tabnak-177588	-nan
tabnak-177685	tabnak-177586	45.8217
tabnak-177685	fardanews-155186	28.7404
tabnak-177685	tabnak-177629	-nan
tabnak-177685	khabaronline-163088	37.4884
tabnak-177685	tabnak-177677	-nan
khabaronline-163115	khabaronline-162897	34.7872
khabaronline-163115	fardanews-155106	41.9531
khabaronline-163115	khabaronline-162916	28.8299
khabaronline-163115	khabaronline-162929	26.1166
khabaronline-163115	tabnak-177436	-nan
khabaronline-163115	khabaronline-162959	32.0683
khabaronline-163115	tabnak-177460	-nan
khabaronline-163115	fardanews-155142	40.3615
khabaronline-163115	tabnak-177524	39.8561
khabaronline-163115	khabaronline-163052	38.6189
khabaronline-163115	khabaronline-163060	31.9655
khabaronline-163115	fardanews-155177	35.3949
khabaronline-163115	tabnak-177588	-nan
khabaronline-163115	tabnak-177586	45.2083
khabaronline-163115	fardanews-155186	30.8961
khabaronline-163115	tabnak-177629	-nan
khabaronline-163115	khabaronline-163088	34.3174
khabaronline-163115	tabnak-177677	-nan
khabaronline-163115	tabnak-177685	37.573
khabaronline-163113	khabaronline-162897	37.367
khabaronline-163113	fardanews-155106	42.024
khabaronline-163113	khabaronline-162916	36.7629
khabaronline-163113	khabaronline-162929	31.1834
khabaronline-163113	tabnak-177436	-nan
khabaronline-163113	khabaronline-162959	36.6703
khabaronline-163113	tabnak-177460	-nan
khabaronline-163113	fardanews-155142	43.7177
khabaronline-163113	tabnak-177524	43.2864
khabaronline-163113	khabaronline-163052	40.7311
khabaronline-163113	khabaronline-163060	34.5047
khabaronline-163113	fardanews-155177	36.0829
khabaronline-163113	tabnak-177588	-nan
khabaronline-163113	tabnak-177586	49.6098
khabaronline-163113	fardanews-155186	33.3682
khabaronline-163113	tabnak-177629	-nan
khabaronline-163113	khabaronline-163088	39.0792
khabaronline-163113	tabnak-177677	-nan
khabaronline-163113	tabnak-177685	41.2733
khabaronline-163113	khabaronline-163115	45.2417
khabaronline-163123	khabaronline-162897	39.5872
khabaronline-163123	fardanews-155106	43.0605
khabaronline-163123	khabaronline-162916	38.5932
khabaronline-163123	khabaronline-162929	32.8164
khabaronline-163123	tabnak-177436	-nan
khabaronline-163123	khabaronline-162959	37.7745
khabaronline-163123	tabnak-177460	-nan
khabaronline-163123	fardanews-155142	40.7703
khabaronline-163123	tabnak-177524	41.5322
khabaronline-163123	khabaronline-163052	41.7111
khabaronline-163123	khabaronline-163060	35.7303
khabaronline-163123	fardanews-155177	37.1055
khabaronline-163123	tabnak-177588	-nan
khabaronline-163123	tabnak-177586	47.4416
khabaronline-163123	fardanews-155186	33.4508
khabaronline-163123	tabnak-177629	-nan
khabaronline-163123	khabaronline-163088	37.8328
khabaronline-163123	tabnak-177677	-nan
khabaronline-163123	tabnak-177685	42.1376
khabaronline-163123	khabaronline-163115	45.4315
khabaronline-163123	khabaronline-163113	38.2523
khabaronline-163158	khabaronline-162897	41.8129
khabaronline-163158	fardanews-155106	47.0135
khabaronline-163158	khabaronline-162916	42.9812
khabaronline-163158	khabaronline-162929	35.3911
khabaronline-163158	tabnak-177436	-nan
khabaronline-163158	khabaronline-162959	42.8045
khabaronline-163158	tabnak-177460	-nan
khabaronline-163158	fardanews-155142	46.7544
khabaronline-163158	tabnak-177524	42.9865
khabaronline-163158	khabaronline-163052	42.7043
khabaronline-163158	khabaronline-163060	41.3459
khabaronline-163158	fardanews-155177	39.3465
khabaronline-163158	tabnak-177588	-nan
khabaronline-163158	tabnak-177586	49.9316
khabaronline-163158	fardanews-155186	36.8198
khabaronline-163158	tabnak-177629	-nan
khabaronline-163158	khabaronline-163088	41.669
khabaronline-163158	tabnak-177677	-nan
khabaronline-163158	tabnak-177685	47.2831
khabaronline-163158	khabaronline-163115	51.1038
khabaronline-163158	khabaronline-163113	42.0875
khabaronline-163158	khabaronline-163123	32.3705
fardanews-155267	khabaronline-162897	38.7081
fardanews-155267	fardanews-155106	46.955
fardanews-155267	khabaronline-162916	40.1968
fardanews-155267	khabaronline-162929	30.8866
fardanews-155267	tabnak-177436	-nan
fardanews-155267	khabaronline-162959	38.5342
fardanews-155267	tabnak-177460	-nan
fardanews-155267	fardanews-155142	45.9424
fardanews-155267	tabnak-177524	38.2885
fardanews-155267	khabaronline-163052	41.647
fardanews-155267	khabaronline-163060	38.4993
fardanews-155267	fardanews-155177	35.68
fardanews-155267	tabnak-177588	-nan
fardanews-155267	tabnak-177586	49.4561
fardanews-155267	fardanews-155186	34.7191
fardanews-155267	tabnak-177629	-nan
fardanews-155267	khabaronline-163088	38.2326
fardanews-155267	tabnak-177677	-nan
fardanews-155267	tabnak-177685	45.4672
fardanews-155267	khabaronline-163115	52.3687
fardanews-155267	khabaronline-163113	38.8511
fardanews-155267	khabaronline-163123	30.2262
fardanews-155267	khabaronline-163158	39.4489
tabnak-177862	khabaronline-162897	0
