132513_fardanews,132453_fardanews=40.9181
132513_fardanews,132454_fardanews=49.5017
132513_fardanews,122118_khabaronline=46.5812
132513_fardanews,122126_khabaronline=55.0411
132513_fardanews,122137_khabaronline=49.7904
132513_fardanews,122140_khabaronline=52.6524
132513_fardanews,132475_fardanews=54.9344
132513_fardanews,132477_fardanews=39.2177
132513_fardanews,132479_fardanews=-nan
132513_fardanews,132481_fardanews=52.6506
132513_fardanews,122156_khabaronline=51.7656
132513_fardanews,132482_fardanews=-nan
132513_fardanews,122158_khabaronline=49.4603
132513_fardanews,122160_khabaronline=48.8958
132513_fardanews,132500_fardanews=-nan
132513_fardanews,132505_fardanews=51.2927
132513_fardanews,122166_khabaronline=-nan
132513_fardanews,122168_khabaronline=50.6321
122188_khabaronline,132453_fardanews=0
122188_khabaronline,132454_fardanews=0
122188_khabaronline,122118_khabaronline=0
122188_khabaronline,122126_khabaronline=0
122188_khabaronline,122137_khabaronline=0
122188_khabaronline,122140_khabaronline=0
122188_khabaronline,132475_fardanews=0
122188_khabaronline,132477_fardanews=0
122188_khabaronline,132479_fardanews=0
122188_khabaronline,132481_fardanews=0
122188_khabaronline,122156_khabaronline=0
122188_khabaronline,132482_fardanews=0
122188_khabaronline,122158_khabaronline=0
122188_khabaronline,122160_khabaronline=0
122188_khabaronline,132500_fardanews=0
122188_khabaronline,132505_fardanews=0
122188_khabaronline,122166_khabaronline=0
122188_khabaronline,122168_khabaronline=0
122188_khabaronline,132513_fardanews=0
122197_khabaronline,132453_fardanews=39.7654
122197_khabaronline,132454_fardanews=55.4142
122197_khabaronline,122118_khabaronline=38.016
122197_khabaronline,122126_khabaronline=55.4089
122197_khabaronline,122137_khabaronline=55.4005
122197_khabaronline,122140_khabaronline=47.434
122197_khabaronline,132475_fardanews=52.6082
122197_khabaronline,132477_fardanews=30.9965
122197_khabaronline,132479_fardanews=-nan
122197_khabaronline,132481_fardanews=49.9656
122197_khabaronline,122156_khabaronline=50.6188
122197_khabaronline,132482_fardanews=-nan
122197_khabaronline,122158_khabaronline=41.6211
122197_khabaronline,122160_khabaronline=47.544
122197_khabaronline,132500_fardanews=-nan
122197_khabaronline,132505_fardanews=52.5222
