theta,true-positive,false-alarm,miss-detection,true-negative,p-miss,p-fa,,cost,0.014883721
0.112,43,20,0,41,0,0.327868852,,0.032131148,
0.113,43,20,0,41,0,0.327868852,,0.032131148,
0.114,43,20,0,41,0,0.327868852,,0.032131148,
0.115,43,20,0,41,0,0.327868852,,0.032131148,
0.116,43,20,0,41,0,0.327868852,,0.032131148,
0.117,43,20,0,41,0,0.327868852,,0.032131148,
0.118,43,20,0,41,0,0.327868852,,0.032131148,
0.119,43,20,0,41,0,0.327868852,,0.032131148,
0.12,43,20,0,41,0,0.327868852,,0.032131148,
0.121,43,20,0,41,0,0.327868852,,0.032131148,
0.122,43,20,0,41,0,0.327868852,,0.032131148,
0.123,43,20,0,41,0,0.327868852,,0.032131148,
0.124,43,20,0,41,0,0.327868852,,0.032131148,
0.125,43,20,0,41,0,0.327868852,,0.032131148,
0.126,43,20,0,41,0,0.327868852,,0.032131148,
0.127,43,20,0,41,0,0.327868852,,0.032131148,
0.128,43,20,0,41,0,0.327868852,,0.032131148,
0.129,43,20,0,41,0,0.327868852,,0.032131148,
0.13,43,20,0,41,0,0.327868852,,0.032131148,
0.131,43,20,0,41,0,0.327868852,,0.032131148,
0.132,43,19,0,42,0,0.31147541,,0.03052459,
0.133,43,19,0,42,0,0.31147541,,0.03052459,
0.134,43,19,0,42,0,0.31147541,,0.03052459,
0.135,43,19,0,42,0,0.31147541,,0.03052459,
0.136,43,19,0,42,0,0.31147541,,0.03052459,
0.137,43,19,0,42,0,0.31147541,,0.03052459,
0.138,43,19,0,42,0,0.31147541,,0.03052459,
0.139,43,19,0,42,0,0.31147541,,0.03052459,
0.14,43,19,0,42,0,0.31147541,,0.03052459,
0.141,43,19,0,42,0,0.31147541,,0.03052459,
0.142,43,19,0,42,0,0.31147541,,0.03052459,
0.143,43,19,0,42,0,0.31147541,,0.03052459,
0.144,43,19,0,42,0,0.31147541,,0.03052459,
0.145,43,19,0,42,0,0.31147541,,0.03052459,
0.146,43,19,0,42,0,0.31147541,,0.03052459,
0.147,43,18,0,43,0,0.295081967,,0.028918033,
0.148,43,18,0,43,0,0.295081967,,0.028918033,
0.149,43,18,0,43,0,0.295081967,,0.028918033,
0.15,43,18,0,43,0,0.295081967,,0.028918033,
0.151,43,18,0,43,0,0.295081967,,0.028918033,
0.152,43,18,0,43,0,0.295081967,,0.028918033,
0.153,43,18,0,43,0,0.295081967,,0.028918033,
0.154,43,18,0,43,0,0.295081967,,0.028918033,
0.155,43,18,0,43,0,0.295081967,,0.028918033,
