theta,true-positive,false-alarm,miss-detection,true-negative,p-miss,p-fa
0.111,43,22,0,39,0.0,0.36065573770491804
0.112,43,22,0,39,0.0,0.36065573770491804
0.113,43,22,0,39,0.0,0.36065573770491804
0.114,43,21,0,40,0.0,0.3442622950819672
0.115,43,21,0,40,0.0,0.3442622950819672
0.116,43,21,0,40,0.0,0.3442622950819672
0.117,43,21,0,40,0.0,0.3442622950819672
0.118,43,21,0,40,0.0,0.3442622950819672
0.119,43,21,0,40,0.0,0.3442622950819672
0.12,43,21,0,40,0.0,0.3442622950819672
0.121,43,21,0,40,0.0,0.3442622950819672
0.122,43,21,0,40,0.0,0.3442622950819672
0.123,43,21,0,40,0.0,0.3442622950819672
0.124,43,21,0,40,0.0,0.3442622950819672
0.125,43,21,0,40,0.0,0.3442622950819672
0.126,43,21,0,40,0.0,0.3442622950819672
0.127,43,21,0,40,0.0,0.3442622950819672
0.128,43,21,0,40,0.0,0.3442622950819672
0.129,43,21,0,40,0.0,0.3442622950819672
0.13,43,21,0,40,0.0,0.3442622950819672
0.131,43,21,0,40,0.0,0.3442622950819672
0.132,43,21,0,40,0.0,0.3442622950819672
0.133,43,21,0,40,0.0,0.3442622950819672
0.134,43,21,0,40,0.0,0.3442622950819672
0.135,43,21,0,40,0.0,0.3442622950819672
0.136,43,21,0,40,0.0,0.3442622950819672
0.137,43,21,0,40,0.0,0.3442622950819672
0.138,43,21,0,40,0.0,0.3442622950819672
0.139,43,21,0,40,0.0,0.3442622950819672
0.14,43,21,0,40,0.0,0.3442622950819672
0.141,43,21,0,40,0.0,0.3442622950819672
0.142,43,21,0,40,0.0,0.3442622950819672
0.143,43,21,0,40,0.0,0.3442622950819672
0.144,43,21,0,40,0.0,0.3442622950819672
0.145,43,21,0,40,0.0,0.3442622950819672
0.146,43,21,0,40,0.0,0.3442622950819672
0.147,43,20,0,41,0.0,0.32786885245901637
0.148,43,20,0,41,0.0,0.32786885245901637
0.149,43,20,0,41,0.0,0.32786885245901637
0.15,43,20,0,41,0.0,0.32786885245901637
0.151,43,20,0,41,0.0,0.32786885245901637
0.152,43,20,0,41,0.0,0.32786885245901637
0.153,43,20,0,41,0.0,0.32786885245901637
0.154,43,20,0,41,0.0,0.32786885245901637
0.155,43,20,0,41,0.0,0.32786885245901637
0.156,43,20,0,41,0.0,0.32786885245901637
0.157,43,20,0,41,0.0,0.32786885245901637
0.158,43,20,0,41,0.0,0.32786885245901637
0.159,43,20,0,41,0.0,0.32786885245901637
0.16,43,20,0,41,0.0,0.32786885245901637
0.161,43,20,0,41,0.0,0.32786885245901637
0.162,43,20,0,41,0.0,0.32786885245901637
0.163,43,20,0,41,0.0,0.32786885245901637
0.164,43,20,0,41,0.0,0.32786885245901637
0.165,43,19,0,42,0.0,0.3114754098360656
0.166,43,19,0,42,0.0,0.3114754098360656
0.167,43,19,0,42,0.0,0.3114754098360656
0.168,43,19,0,42,0.0,0.3114754098360656
0.169,43,19,0,42,0.0,0.3114754098360656
0.17,43,19,0,42,0.0,0.3114754098360656
0.171,43,19,0,42,0.0,0.3114754098360656
0.172,43,19,0,42,0.0,0.3114754098360656
0.173,43,19,0,42,0.0,0.3114754098360656
0.174,43,19,0,42,0.0,0.3114754098360656
0.175,43,19,0,42,0.0,0.3114754098360656
0.176,43,19,0,42,0.0,0.3114754098360656
0.177,43,19,0,42,0.0,0.3114754098360656
0.178,43,19,0,42,0.0,0.3114754098360656
0.179,43,19,0,42,0.0,0.3114754098360656
0.18,43,19,0,42,0.0,0.3114754098360656
0.181,43,19,0,42,0.0,0.3114754098360656
0.182,43,19,0,42,0.0,0.3114754098360656
0.183,43,19,0,42,0.0,0.3114754098360656
0.184,43,19,0,42,0.0,0.3114754098360656
0.185,43,19,0,42,0.0,0.3114754098360656
0.186,43,19,0,42,0.0,0.3114754098360656
0.187,43,19,0,42,0.0,0.3114754098360656
0.188,43,19,0,42,0.0,0.3114754098360656
0.189,43,19,0,42,0.0,0.3114754098360656
0.19,43,19,0,42,0.0,0.3114754098360656
0.191,43,19,0,42,0.0,0.3114754098360656
0.192,43,19,0,42,0.0,0.3114754098360656
0.193,43,19,0,42,0.0,0.3114754098360656
0.194,43,19,0,42,0.0,0.3114754098360656
0.195,43,19,0,42,0.0,0.3114754098360656
0.196,43,19,0,42,0.0,0.3114754098360656
0.197,43,19,0,42,0.0,0.3114754098360656
0.198,43,19,0,42,0.0,0.3114754098360656
0.199,43,19,0,42,0.0,0.3114754098360656
0.2,43,19,0,42,0.0,0.3114754098360656
0.201,43,19,0,42,0.0,0.3114754098360656
0.202,43,19,0,42,0.0,0.3114754098360656
0.203,43,19,0,42,0.0,0.3114754098360656
0.204,43,19,0,42,0.0,0.3114754098360656
0.205,43,19,0,42,0.0,0.3114754098360656
0.206,43,19,0,42,0.0,0.3114754098360656
0.207,43,19,0,42,0.0,0.3114754098360656
0.208,43,19,0,42,0.0,0.3114754098360656
0.209,43,19,0,42,0.0,0.3114754098360656
0.21,43,19,0,42,0.0,0.3114754098360656
0.211,43,19,0,42,0.0,0.3114754098360656
0.212,43,19,0,42,0.0,0.3114754098360656
0.213,43,19,0,42,0.0,0.3114754098360656
0.214,43,19,0,42,0.0,0.3114754098360656
0.215,43,19,0,42,0.0,0.3114754098360656
0.216,43,19,0,42,0.0,0.3114754098360656
0.217,43,19,0,42,0.0,0.3114754098360656
0.218,43,19,0,42,0.0,0.3114754098360656
0.219,43,19,0,42,0.0,0.3114754098360656
0.22,43,19,0,42,0.0,0.3114754098360656
0.221,43,19,0,42,0.0,0.3114754098360656
0.222,43,19,0,42,0.0,0.3114754098360656
0.223,43,19,0,42,0.0,0.3114754098360656
0.224,43,19,0,42,0.0,0.3114754098360656
0.225,43,19,0,42,0.0,0.3114754098360656
0.226,43,19,0,42,0.0,0.3114754098360656
0.227,43,19,0,42,0.0,0.3114754098360656
0.228,43,19,0,42,0.0,0.3114754098360656
0.229,43,19,0,42,0.0,0.3114754098360656
0.23,43,19,0,42,0.0,0.3114754098360656
0.231,43,18,0,43,0.0,0.29508196721311475
0.232,43,18,0,43,0.0,0.29508196721311475
0.233,43,18,0,43,0.0,0.29508196721311475
0.234,43,18,0,43,0.0,0.29508196721311475
0.235,43,18,0,43,0.0,0.29508196721311475
0.236,43,18,0,43,0.0,0.29508196721311475
0.237,43,18,0,43,0.0,0.29508196721311475
0.238,43,18,0,43,0.0,0.29508196721311475
0.239,43,18,0,43,0.0,0.29508196721311475
0.24,43,18,0,43,0.0,0.29508196721311475
0.241,43,18,0,43,0.0,0.29508196721311475
0.242,43,18,0,43,0.0,0.29508196721311475
0.243,43,18,0,43,0.0,0.29508196721311475
0.244,43,18,0,43,0.0,0.29508196721311475
0.245,43,18,0,43,0.0,0.29508196721311475
0.246,43,18,0,43,0.0,0.29508196721311475
0.247,43,18,0,43,0.0,0.29508196721311475
0.248,43,18,0,43,0.0,0.29508196721311475
0.249,43,18,0,43,0.0,0.29508196721311475
0.25,43,18,0,43,0.0,0.29508196721311475
0.251,43,18,0,43,0.0,0.29508196721311475
0.252,43,18,0,43,0.0,0.29508196721311475
0.253,43,18,0,43,0.0,0.29508196721311475
0.254,43,18,0,43,0.0,0.29508196721311475
0.255,43,18,0,43,0.0,0.29508196721311475
0.256,43,18,0,43,0.0,0.29508196721311475
0.257,43,18,0,43,0.0,0.29508196721311475
0.258,43,18,0,43,0.0,0.29508196721311475
0.259,43,18,0,43,0.0,0.29508196721311475
0.26,43,18,0,43,0.0,0.29508196721311475
0.261,43,18,0,43,0.0,0.29508196721311475
0.262,43,18,0,43,0.0,0.29508196721311475
0.263,43,18,0,43,0.0,0.29508196721311475
0.264,43,18,0,43,0.0,0.29508196721311475
0.265,43,18,0,43,0.0,0.29508196721311475
0.266,43,18,0,43,0.0,0.29508196721311475
0.267,43,18,0,43,0.0,0.29508196721311475
0.268,43,18,0,43,0.0,0.29508196721311475
0.269,43,18,0,43,0.0,0.29508196721311475
0.27,43,18,0,43,0.0,0.29508196721311475
0.271,43,18,0,43,0.0,0.29508196721311475
0.272,43,18,0,43,0.0,0.29508196721311475
0.273,43,18,0,43,0.0,0.29508196721311475
0.274,43,18,0,43,0.0,0.29508196721311475
0.275,43,18,0,43,0.0,0.29508196721311475
0.276,43,18,0,43,0.0,0.29508196721311475
0.277,43,18,0,43,0.0,0.29508196721311475
0.278,43,18,0,43,0.0,0.29508196721311475
0.279,43,18,0,43,0.0,0.29508196721311475
0.28,43,18,0,43,0.0,0.29508196721311475
0.281,43,18,0,43,0.0,0.29508196721311475
0.282,43,18,0,43,0.0,0.29508196721311475
0.283,43,18,0,43,0.0,0.29508196721311475
0.284,43,17,0,44,0.0,0.2786885245901639
0.285,43,17,0,44,0.0,0.2786885245901639
