theta,true-positive,false-alarm,miss-detection,true-negative,p-miss,p-fa
0.139,34,30,0,40,0,0.428571429
0.14,34,30,0,40,0,0.428571429
0.141,34,30,0,40,0,0.428571429
0.142,34,30,0,40,0,0.428571429
0.143,34,30,0,40,0,0.428571429
0.144,34,30,0,40,0,0.428571429
0.145,34,30,0,40,0,0.428571429
0.146,34,30,0,40,0,0.428571429
0.147,34,29,0,41,0,0.414285714
0.148,34,29,0,41,0,0.414285714
0.149,34,29,0,41,0,0.414285714
0.15,34,29,0,41,0,0.414285714
0.151,34,29,0,41,0,0.414285714
0.152,34,29,0,41,0,0.414285714
0.153,34,29,0,41,0,0.414285714
0.154,34,29,0,41,0,0.414285714
0.155,34,29,0,41,0,0.414285714
0.156,34,29,0,41,0,0.414285714
0.157,34,29,0,41,0,0.414285714
0.158,34,29,0,41,0,0.414285714
0.159,34,29,0,41,0,0.414285714
0.16,34,29,0,41,0,0.414285714
0.161,34,29,0,41,0,0.414285714
0.162,34,29,0,41,0,0.414285714
0.163,34,29,0,41,0,0.414285714
0.164,34,29,0,41,0,0.414285714
0.165,34,28,0,42,0,0.4
0.166,34,28,0,42,0,0.4
0.167,34,28,0,42,0,0.4
0.168,34,28,0,42,0,0.4
0.169,34,28,0,42,0,0.4
0.17,34,28,0,42,0,0.4
0.171,34,28,0,42,0,0.4
0.172,34,28,0,42,0,0.4
0.173,34,28,0,42,0,0.4
0.174,34,28,0,42,0,0.4
0.175,34,28,0,42,0,0.4
0.176,34,28,0,42,0,0.4
0.177,34,28,0,42,0,0.4
0.178,34,28,0,42,0,0.4
0.179,34,28,0,42,0,0.4
0.18,34,28,0,42,0,0.4
0.181,34,28,0,42,0,0.4
0.182,34,28,0,42,0,0.4
0.183,34,28,0,42,0,0.4
0.184,34,28,0,42,0,0.4
0.185,34,28,0,42,0,0.4
0.186,34,28,0,42,0,0.4
0.187,34,28,0,42,0,0.4
0.188,34,28,0,42,0,0.4
0.189,34,28,0,42,0,0.4
0.19,34,28,0,42,0,0.4
0.191,34,28,0,42,0,0.4
0.192,34,28,0,42,0,0.4
0.193,34,28,0,42,0,0.4
0.194,34,28,0,42,0,0.4
0.195,34,28,0,42,0,0.4
0.196,34,28,0,42,0,0.4
0.197,34,28,0,42,0,0.4
0.198,34,28,0,42,0,0.4
0.199,34,28,0,42,0,0.4
0.2,34,28,0,42,0,0.4
0.201,34,28,0,42,0,0.4
0.202,34,28,0,42,0,0.4
0.203,34,28,0,42,0,0.4
0.204,34,28,0,42,0,0.4
0.205,34,28,0,42,0,0.4
0.206,34,28,0,42,0,0.4
0.207,34,28,0,42,0,0.4
0.208,34,28,0,42,0,0.4
0.209,34,28,0,42,0,0.4
0.21,34,28,0,42,0,0.4
0.211,34,28,0,42,0,0.4
0.212,34,28,0,42,0,0.4
0.213,34,28,0,42,0,0.4
0.214,34,28,0,42,0,0.4
0.215,34,28,0,42,0,0.4
0.216,34,28,0,42,0,0.4
0.217,34,28,0,42,0,0.4
0.218,34,28,0,42,0,0.4
0.219,34,28,0,42,0,0.4
0.22,34,28,0,42,0,0.4
0.221,34,28,0,42,0,0.4
0.222,34,28,0,42,0,0.4
0.223,34,28,0,42,0,0.4
0.224,34,28,0,42,0,0.4
0.225,34,28,0,42,0,0.4
0.226,34,28,0,42,0,0.4
0.227,34,28,0,42,0,0.4
0.228,34,28,0,42,0,0.4
0.229,34,28,0,42,0,0.4
0.23,34,28,0,42,0,0.4
0.231,34,27,0,43,0,0.385714286
0.232,34,27,0,43,0,0.385714286
0.233,34,27,0,43,0,0.385714286
0.234,34,27,0,43,0,0.385714286
0.235,34,27,0,43,0,0.385714286
0.236,34,27,0,43,0,0.385714286
0.237,34,27,0,43,0,0.385714286
0.238,34,27,0,43,0,0.385714286
0.239,34,27,0,43,0,0.385714286
0.24,34,27,0,43,0,0.385714286
0.241,34,27,0,43,0,0.385714286
0.242,34,27,0,43,0,0.385714286
0.243,34,27,0,43,0,0.385714286
0.244,34,27,0,43,0,0.385714286
0.245,34,27,0,43,0,0.385714286
0.246,34,27,0,43,0,0.385714286
0.247,34,27,0,43,0,0.385714286
0.248,34,27,0,43,0,0.385714286
0.249,34,27,0,43,0,0.385714286
0.25,34,27,0,43,0,0.385714286
0.251,34,27,0,43,0,0.385714286
0.252,34,27,0,43,0,0.385714286
0.253,34,27,0,43,0,0.385714286
0.254,34,27,0,43,0,0.385714286
0.255,34,27,0,43,0,0.385714286
0.256,34,27,0,43,0,0.385714286
0.257,34,27,0,43,0,0.385714286
0.258,34,27,0,43,0,0.385714286
0.259,34,27,0,43,0,0.385714286
0.26,34,27,0,43,0,0.385714286
0.261,34,27,0,43,0,0.385714286
0.262,34,27,0,43,0,0.385714286
0.263,34,27,0,43,0,0.385714286
0.264,34,27,0,43,0,0.385714286
0.265,34,27,0,43,0,0.385714286
0.266,34,27,0,43,0,0.385714286
0.267,34,27,0,43,0,0.385714286
0.268,34,27,0,43,0,0.385714286
0.269,34,27,0,43,0,0.385714286
0.27,34,27,0,43,0,0.385714286
0.271,34,27,0,43,0,0.385714286
0.272,34,27,0,43,0,0.385714286
0.273,34,27,0,43,0,0.385714286
0.274,34,27,0,43,0,0.385714286
0.275,34,27,0,43,0,0.385714286
0.276,34,27,0,43,0,0.385714286
0.277,34,27,0,43,0,0.385714286
0.278,34,27,0,43,0,0.385714286
0.279,34,27,0,43,0,0.385714286
0.28,34,27,0,43,0,0.385714286
0.281,34,27,0,43,0,0.385714286
0.282,34,27,0,43,0,0.385714286
0.283,34,27,0,43,0,0.385714286
0.284,34,26,0,44,0,0.371428571
0.285,34,26,0,44,0,0.371428571
0.286,34,26,0,44,0,0.371428571
0.287,34,26,0,44,0,0.371428571
0.288,34,26,0,44,0,0.371428571
0.289,34,26,0,44,0,0.371428571
0.29,34,26,0,44,0,0.371428571
0.291,34,26,0,44,0,0.371428571
0.292,34,26,0,44,0,0.371428571
0.293,34,26,0,44,0,0.371428571
0.294,34,26,0,44,0,0.371428571
0.295,34,26,0,44,0,0.371428571
0.296,34,26,0,44,0,0.371428571
0.297,34,26,0,44,0,0.371428571
0.298,34,26,0,44,0,0.371428571
0.299,34,26,0,44,0,0.371428571
0.3,34,26,0,44,0,0.371428571
0.301,34,26,0,44,0,0.371428571
0.302,34,26,0,44,0,0.371428571
0.303,34,26,0,44,0,0.371428571
0.304,34,26,0,44,0,0.371428571
0.305,34,26,0,44,0,0.371428571
0.306,34,26,0,44,0,0.371428571
0.307,34,26,0,44,0,0.371428571
0.308,34,26,0,44,0,0.371428571
0.309,34,26,0,44,0,0.371428571
0.31,34,26,0,44,0,0.371428571
0.311,34,26,0,44,0,0.371428571
0.312,34,26,0,44,0,0.371428571
0.313,34,26,0,44,0,0.371428571
0.314,34,26,0,44,0,0.371428571
0.315,34,26,0,44,0,0.371428571
0.316,34,26,0,44,0,0.371428571
0.317,34,26,0,44,0,0.371428571
0.318,34,26,0,44,0,0.371428571
0.319,34,26,0,44,0,0.371428571
0.32,34,26,0,44,0,0.371428571
0.321,34,26,0,44,0,0.371428571
0.322,34,26,0,44,0,0.371428571
0.323,34,26,0,44,0,0.371428571
0.324,34,26,0,44,0,0.371428571
0.325,34,26,0,44,0,0.371428571
0.326,34,26,0,44,0,0.371428571
0.327,34,26,0,44,0,0.371428571
0.328,34,26,0,44,0,0.371428571
0.329,34,26,0,44,0,0.371428571
0.33,34,26,0,44,0,0.371428571
0.331,34,26,0,44,0,0.371428571
0.332,34,26,0,44,0,0.371428571
0.333,34,26,0,44,0,0.371428571
0.334,34,26,0,44,0,0.371428571
0.335,34,26,0,44,0,0.371428571
0.336,34,26,0,44,0,0.371428571
0.337,34,26,0,44,0,0.371428571
0.338,34,26,0,44,0,0.371428571
0.339,34,26,0,44,0,0.371428571
0.34,34,26,0,44,0,0.371428571
0.341,34,26,0,44,0,0.371428571
0.342,34,26,0,44,0,0.371428571
0.343,34,26,0,44,0,0.371428571
0.344,34,26,0,44,0,0.371428571
0.345,34,26,0,44,0,0.371428571
0.346,34,26,0,44,0,0.371428571
0.347,34,26,0,44,0,0.371428571
0.348,34,26,0,44,0,0.371428571
0.349,34,26,0,44,0,0.371428571
0.35,34,26,0,44,0,0.371428571
0.351,34,26,0,44,0,0.371428571
0.352,34,26,0,44,0,0.371428571
0.353,34,26,0,44,0,0.371428571
0.354,34,26,0,44,0,0.371428571
0.355,34,26,0,44,0,0.371428571
0.356,34,26,0,44,0,0.371428571
0.357,34,26,0,44,0,0.371428571
0.358,34,26,0,44,0,0.371428571
0.359,33,26,1,44,0.029411765,0.371428571
0.36,33,26,1,44,0.029411765,0.371428571
0.361,33,26,1,44,0.029411765,0.371428571
0.362,33,26,1,44,0.029411765,0.371428571
0.363,33,26,1,44,0.029411765,0.371428571
0.364,33,26,1,44,0.029411765,0.371428571
