"id","khabar-gozari","c-comment","tag","TF-IDF","TF","IDF","KhabarGozaryMatch","TimeDiff","row id","MaxID","MacIndex"
"139",1144720,"Khabaronline",6,"old",0.996715081,0.999034283,0.998085164,0,5160,138,947598,135
"141",1144804,"Khabaronline",57,"new",0.340807593,0.638518827,0.441016121,0,1281180,140,944561,76
"142",947728,"Tabnak",0,"old",0.925253201,0.973400515,0.961308755,0,13980,141,1144804,140
"147",1145553,"Khabaronline",2,"new",0.260639182,0.433644148,0.274548508,1,1447980,146,1143280,111
"149",1145808,"Khabaronline",6,"old",0.917141473,0.937671079,0.918368971,1,100500,148,1145553,146
"150",166134,"Fardanews",0,"old",0.951015493,0.959646103,0.947379588,0,18300,149,1145808,148
"152",1146264,"Khabaronline",1,"new",0.200790607,0.367859893,0.282617196,1,1828560,151,1142866,98
"153",1146265,"Khabaronline",10,"old",0.995081601,0.995525705,0.996140262,1,300,152,1146264,151
"155",1146313,"Khabaronline",0,"new",0.335278294,0.563544513,0.380639045,1,140400,154,1145808,148
"157",1146971,"Khabaronline",24,"new",0.256187097,0.508483014,0.289516496,0,2347740,156,944820,88
"158",950538,"Tabnak",0,"old",0.940599693,0.936079356,0.930136573,0,1260,157,1146971,156
"159",168189,"Fardanews",0,"new",0.276557259,0.591317089,0.405187766,0,2462160,158,947728,141
"160",953969,"Tabnak",0,"old",1,1,1,0,6420,159,168189,158
"161",1149505,"Khabaronline",13,"old",0.604888645,0.690006958,0.620674375,0,17820,160,168189,158
"162",954031,"Tabnak",0,"old",0.90135671,0.917416782,0.910240555,0,660,161,1149505,160
"163",954083,"Tabnak",2,"old",0.963737646,0.9875,0.975810631,0,24300,162,168189,158
"164",954124,"Tabnak",0,"old",0.716985818,0.785404293,0.727883079,1,56040,163,954083,162
"166",956850,"Tabnak",0,"new",0.453413967,0.56947982,0.450048694,0,1204320,165,168189,158
"168",956998,"Tabnak",0,"new",0.197358144,0.507235048,0.252303882,0,5332860,167,1141838,35
"169",169624,"Fardanews",2,"old",0.835536575,0.962628907,0.855718051,0,1080,168,956998,167
"170",1151657,"Khabaronline",46,"old",0.522462928,0.582291218,0.508789829,0,5446560,169,943361,10
"171",169650,"Fardanews",51,"old",0.339555115,0.553509304,0.440122279,0,4902240,170,1142686,93
"172",957043,"Tabnak",0,"old",1,1,1,0,15840,171,169624,168
"174",169698,"Fardanews",5,"old",0.580010208,0.727118516,0.641361916,0,1218600,173,954124,163
"176",1151875,"Khabaronline",26,"new",0.176267968,0.430527414,0.226841579,0,95640,175,169650,170
"177",957321,"Tabnak",0,"old",0.34619213,0.531817136,0.410507657,0,5447760,176,1141838,35
"178",1151888,"Khabaronline",248,"new",0.582292832,0.673472683,0.5860064,1,126900,177,1151657,169
"179",169795,"Fardanews",15,"old",0.397132909,0.61580312,0.435892109,1,140940,178,169624,168
"180",169796,"Fardanews",1,"old",0.309154135,0.507654129,0.394776788,0,168300,179,956850,165
"181",957327,"Tabnak",0,"old",0.901445479,0.94881133,0.918051673,0,2040,180,169795,178
"182",957352,"Tabnak",0,"old",0.952099727,0.954637306,0.953243873,1,2820,181,957327,180
"183",957357,"Tabnak",0,"old",1,1,1,0,5280,182,169796,179
"184",1151903,"Khabaronline",521,"new",0.504399282,0.671255343,0.55666318,0,6720,183,169796,179
"189",1152844,"Khabaronline",159,"new",0.207238025,0.449789834,0.301739984,0,455100,188,169650,170
"190",170227,"Fardanews",2,"old",0.923631872,0.963984275,0.932111531,0,5220,189,1152844,188
"191",958180,"Tabnak",0,"old",1,1,1,0,9480,190,170227,189
"192",170269,"Fardanews",6,"old",1,1,1,1,46200,191,170227,189
"193",958252,"Tabnak",0,"old",1,1,1,0,56460,192,170227,189
"195",170298,"Fardanews",19,"new",0.298544023,0.622305914,0.453598802,1,57660,194,170227,189
"196",958329,"Tabnak",0,"old",1,1,1,0,13140,195,170298,194
