c.comment,TF.IDF,KhabarGozaryMatch,TimeDiff,NE,KeyWordOverLap(0-25),WMD,tag,WMD2,SOFTCOS,,TF.IDF,WMD
0,0.216595299,0,432180,0.59001423,4,4.059325106,new,21.41077775,0.443929208,,new,new
11,0.299429269,0,297780,0.573733297,3,3.652192597,old,20.20778976,0.564392447,,new,new
78,0.253720442,0,478080,0.289017715,4,3.185953921,new,18.4108753,0.527911652,,new,new
49,0.187387839,0,547080,0.163603712,2,3.786829648,new,18.88397989,0.503128894,,new,new
0,0.302901239,0,181560,0.52119938,8,3.580538185,new,21.98941321,0.406123001,,new,new
62,0.769564083,0,4200,1,19,1.516342795,old,6.559203889,0.888285672,,old,old
30,0.174996729,1,279900,0.438767274,3,3.875250107,new,21.96706992,0.429518747,,new,new
1,0.199047038,1,986700,0.73537958,0,3.613601809,new,18.76412669,0.538048138,,new,new
23,0.073304953,0,814740,1,0,4.197528195,new,23.08528034,0.330205734,,new,new
0,1,0,3420,1,25,0,old,0,1,,old,old
0,0.641422224,0,1126140,0.681098208,11,2.090085558,new,12.90117982,0.811514384,,old,old
1,0.969526094,0,1500,0.82498187,24,0.146630878,old,1.042450574,0.993045187,,old,old
0,0.98559816,1,1620,0.917875515,23,0.313903636,old,2.153525473,0.988715554,,old,old
0,0.982147299,0,780,1,22,0.225916278,old,1.543868235,0.98688945,,old,old
0,0.194860823,1,13380,0.295026132,3,3.656751547,old,20.32470023,0.549211882,,new,new
4,0.990970171,0,120,0.948836322,22,0.389588633,old,2.299341475,0.988430117,,old,old
0,0.998944253,0,3900,1,25,0.032646175,old,0.306836247,0.999054081,,old,old
6,0.996715081,0,5160,0.919071755,25,0.026057652,old,0,0.999255529,,old,old
57,0.340807593,0,1281180,0.534654339,3,2.889183115,new,15.13420479,0.666269322,,new,new
0,0.925253201,0,13980,0.987484174,24,0.374694482,old,2.282524407,0.984201899,,old,old
2,0.260639182,1,1447980,0.157322356,3,3.346782734,new,16.40338795,0.529322651,,new,new
6,0.917141473,1,100500,1,22,0.658888621,old,4.48014574,0.938338826,,old,old
0,0.951015493,0,18300,0.660302286,21,0.755906331,old,4.299225316,0.96116532,,old,old
1,0.200790607,1,1828560,0.352437281,3,3.806806748,new,21.19842019,0.478853245,,new,new
10,0.995081601,1,300,1,25,0.075956443,old,0,0.996856007,,old,old
0,0.335278294,1,140400,0.451173926,6,2.946058002,new,16.9177955,0.584490695,,new,new
24,0.256187097,0,2347740,0.462750773,4,3.336938684,new,17.11606042,0.629853748,,new,new
0,0.940599693,0,1260,0.977908615,19,0.928470461,old,5.668785291,0.947550455,,old,old
0,0.276557259,0,2462160,0.426526097,3,3.322701015,new,17.77544432,0.724786438,,new,new
0,1,0,6420,1,25,0,old,0,1,,old,old
13,0.604888645,0,17820,0.520399198,12,2.018711384,old,10.85939173,0.840465748,,old,old
0,0.90135671,0,660,1,22,0.695927517,old,4.320568351,0.952766161,,old,old
2,0.963737646,0,24300,1,23,0.135877836,old,0.834718886,0.992719796,,old,old
0,0.716985818,1,56040,0.824701961,16,1.928019438,old,10.55988182,0.856481718,,old,old
0,0.453413967,0,1204320,0.31813621,4,3.099967789,new,17.61080485,0.700739959,,new,new
0,0.197358144,0,5332860,0.487187658,2,3.628779552,new,19.27458093,0.535094343,,new,new
2,0.835536575,0,1080,0.966978394,20,0.591875591,old,2.33065751,0.964264719,,old,old
46,0.522462928,0,5446560,0.536558214,5,2.759227034,old,15.86809479,0.691312716,,old,old
